,avg_degree,avg_clustering,max_path_length,avg_path_length,betweenness,eigenvec_centra,pagerank
116,26,0.0062,6,3.3416,0.0403,0.1951,0.0033
30,24,0.0109,6,3.5744,0.026,0.119,0.0033
1011,24,0.0072,6,3.4496,0.0322,0.1512,0.0032
1157,23,0.004,6,3.5424,0.0304,0.1005,0.0032
471,22,0,6,3.48,0.0302,0.1235,0.0029
638,22,0,6,3.472,0.0266,0.1094,0.0029
305,21,0.0048,6,3.6384,0.021,0.0823,0.0028
619,21,0.0143,6,3.484,0.0284,0.1245,0.0027
1120,18,0,6,3.636,0.0191,0.0793,0.0024
900,18,0.0065,5,3.4344,0.0261,0.1222,0.0023
